IdMulta;IdFalta;CodigoFalta;TipoFormato;NivelGravedad;IdTiempo;Anio;Mes;MultasImpuestas;ImporteImpuesto;ReincidenciaImpuesta
9098;63;G21;Papeleta de Tránsito;G;5;2022;5;7;2576;0
9099;208;M19;Papeleta de Tránsito;M;7;2022;7;1;552;0
9100;178;L06;Papeleta de Tránsito;L;12;2022;12;2;368;0
9101;226;M28;Papeleta de Tránsito;M;7;2022;7;1;552;0
9102;63;G21;Papeleta de Tránsito;G;4;2022;4;2;736;0
9103;242;M44;Video Papeleta;M;1;2022;1;19;10488;0
9104;118;G47;Papeleta de Tránsito;G;3;2022;3;16;5888;368
9105;180;L08;Papeleta de Tránsito;L;5;2022;5;2;368;0
9106;181;M01;Papeleta de Tránsito;M;2;2022;2;1;4600;0
9107;212;M20b;Papeleta Electrónica;M;6;2022;6;46;50784;0
9108;179;L07;Papeleta de Tránsito;L;2;2022;2;3;552;0
9109;79;G31b;Papeleta de Tránsito;G;4;2022;4;4;1472;0
9110;116;G46;Video Papeleta;G;1;2022;1;1;368;0
9111;183;M03;Papeleta de Tránsito;M;3;2022;3;3;6900;0
9112;146;G58;Papeleta de Tránsito;G;1;2022;1;5;1840;0
9113;226;M28;Papeleta de Tránsito;M;8;2022;8;4;2208;0
9114;52;G15;Papeleta de Tránsito;G;10;2022;10;13;4784;0
9115;89;G35;Papeleta de Tránsito;G;6;2022;6;1;368;0
9116;25;G04;Papeleta de Tránsito;G;7;2022;7;2;736;0
9117;97;G40;Video Papeleta;G;3;2022;3;447;164496;0
9118;182;M02;Papeleta de Tránsito;M;7;2022;7;12;27600;0
9119;146;G58;Papeleta de Tránsito;G;1;2022;1;5;1840;0
9120;22;G02;Papeleta de Tránsito;G;7;2022;7;2;736;0
9121;182;M02;Papeleta de Tránsito;M;1;2022;1;4;9200;0
9122;78;G31a;Papeleta de Tránsito;G;10;2022;10;3;1104;368
9123;116;G46;Video Papeleta;G;11;2022;11;9;3312;0
9124;85;G33;Papeleta de Tránsito;G;9;2022;9;1;368;0
9125;120;G47;Video Papeleta;G;2;2022;2;69;25392;0
9126;184;M04;Papeleta de Tránsito;M;6;2022;6;1;4600;0
9127;182;M02;Papeleta de Tránsito;M;7;2022;7;2;4600;0
9128;53;G15;Video Papeleta;G;5;2022;5;1;368;0
9129;217;M21;Papeleta de Tránsito;M;2;2022;2;15;8280;0
9130;182;M02;Papeleta de Tránsito;M;3;2022;3;1;2300;0
9131;97;G40;Video Papeleta;G;7;2022;7;2;736;0
9132;226;M28;Papeleta de Tránsito;M;3;2022;3;11;6072;0
9133;120;G47;Video Papeleta;G;2;2022;2;172;63296;0
9134;146;G58;Papeleta de Tránsito;G;6;2022;6;12;4416;0
9135;74;G29;Video Papeleta;G;3;2022;3;3;1104;0
9136;173;L02;Papeleta de Tránsito;L;10;2022;10;5;1150;0
9137;79;G31b;Papeleta de Tránsito;G;1;2022;1;1;368;0
9138;200;M16;Papeleta de Tránsito;M;1;2022;1;17;9384;0
9139;74;G29;Video Papeleta;G;2;2022;2;1;368;0
9140;44;G11;Video Papeleta;G;5;2022;5;86;31648;0
9141;225;M27;Papeleta de Tránsito;M;2;2022;2;1;2300;0
9142;105;G42;Video Papeleta;G;5;2022;5;1;368;0
9143;134;G54;Papeleta de Tránsito;G;8;2022;8;168;61824;0
9144;26;G04;Video Papeleta;G;1;2022;1;1;368;0
9145;146;G58;Papeleta de Tránsito;G;7;2022;7;3;1104;0
9146;96;G40;Papeleta de Tránsito Electrónica;G;7;2022;7;681;250608;0
9147;182;M02;Papeleta de Tránsito;M;4;2022;4;1;2300;0
9148;34;G08;Video Papeleta;G;1;2022;1;3;1104;0
9149;89;G35;Papeleta de Tránsito;G;8;2022;8;35;12880;368
9150;92;G38;Papeleta de Tránsito;G;4;2022;4;5;1840;0
9151;212;M20b;Papeleta Electrónica;M;4;2022;4;5;5520;0
9152;182;M02;Papeleta de Tránsito;M;7;2022;7;4;9200;0
9153;179;L07;Papeleta de Tránsito;L;3;2022;3;2;368;0
9154;118;G47;Papeleta de Tránsito;G;7;2022;7;2;736;0
9155;44;G11;Video Papeleta;G;6;2022;6;1;368;0
9156;204;M17;Papeleta de Tránsito;M;3;2022;3;2;1104;0
9157;181;M01;Papeleta de Tránsito;M;7;2022;7;7;32200;4600
9158;170;L01;Papeleta de Tránsito;L;8;2022;8;404;74336;3312
9159;183;M03;Papeleta de Tránsito;M;4;2022;4;1;2300;0
9160;184;M04;Papeleta de Tránsito;M;4;2022;4;15;69000;4600
9161;32;G08;Papeleta de Tránsito;G;9;2022;9;1;368;0
